family,rho,J,test,type_I,mcse,R,skew_D,abs_skew,skew_mcse
lognormal,0.6,150,studentized_bootstrap,0.0644,0.0049092826359866,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,200,studentized_bootstrap,0.0584,0.0046899654582949,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,400,studentized_bootstrap,0.0544,0.0045361058188715,2500,0.5492380807537952,0.5492380807537952,0.0024494897427831
gamma,0.0,10,studentized_bootstrap,0.0476,0.0042583677624178,2500,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,15,studentized_bootstrap,0.0664,0.0049795999839344,2500,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,20,studentized_bootstrap,0.0504,0.0043753783836372,2500,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,25,studentized_bootstrap,0.0544,0.0045361058188715,2500,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,30,studentized_bootstrap,0.0476,0.0042583677624178,2500,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,40,studentized_bootstrap,0.0588,0.00470499989373,2500,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,50,studentized_bootstrap,0.052,0.0044405405076409,2500,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,75,studentized_bootstrap,0.0556,0.0045829527599572,2500,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,100,studentized_bootstrap,0.0572,0.0046444874851806,2500,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,150,studentized_bootstrap,0.046,0.004189701660023,2500,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,200,studentized_bootstrap,0.0568,0.0046292012269937,2500,0.4987864200353924,0.4987864200353924,0.0024494897427831
